id,title,time,director,year,star1,star2,star3,star4,star5,star6,tomatome_rating,audience_rating,review1,review2,review3,review4,review5
1,Outside the Law (Hors-la-loi),2 hr. 17 min.,Rachid Bouchareb,2010,Sami Bouajila,Jamel Debbouze,Roschdy Zem,Bernard Blancan,Sabrina Seyvecou,Larbi Zekkal,76,65,"It's a big, bold film defined by a reserved passion, a stately style and strong performances from its three leads.","It's a ham-handed ""issue"" movie that preaches to the converted, but the mid-century threads look cool and those Coppola moments remain effective all these years later.","Think The Godfather II as told through France vs. Algeria tensions, and you have the essence of Rachid Bouchareb's vivid combo crime saga, action movie and historical drama.","""Outside the Law"" is an epic film about Algeria's fight for liberation from France, with three outstanding performances and a grand, sweeping feel.",A gripping French-Algerian coproduction that makes Algeria's epic struggle for independence from France look like a gangster movie.
2,The Music Never Stopped,1 hr. 45 min.,Jim Kohlberg,2011,J.K. Simmons,Cara Seymour,Lou Taylor Pucci,Scott Adsit,James Urbaniak,Max Antisell,65,82,"A wounded and hopeful take on generation gaps and the wider, nearly unbridgeable chasms created by neurological disaster.","A medley of ""Memento,"" ""The King's Speech"" and ""Hair,"" ""The Music Never Stopped"" is sentimental pop packaged as a profound rock opera.","The sentiments are real without succumbing to exaggerated sentimentality, thanks in large part to that big lovable lug, J.K. Simmons.",Kohlberg is determined to manipulate your emotions; he succeeds.,"It's sentimental, yet so honest and eccentric that it rises above schmaltz."
3,Cold Weather,1 hr. 30 min.,Aaron Katz,2011,Cris Lankenau,Trieste Kelly Dunn,Robyn Rikoon,Raul Castillo,Jeb Pearson,Brendan McFadden,77,53,"The result is pretty entertaining, though most of that entertainment derives from Katz's skillful exploitation of gumshoe formula.","Katz's characters are beautifully observed, the autumnal photography of downtown Portland is lovely, and the tension is expertly maintained...","This is a slacker detective story, emphasis on the slack, and if you can downshift into its loping rhythms, it's pretty wonderful.","Katz is a triple threat, his editing every bit as important as his writing and directing for his movies' sense of place, shifting tonalities, and emotional vibrations.","'Cold Weather' is an engaging and inventive act of genre-tweaking with no bells and whistles attached, and it represents a huge leap forward for an increasingly promising filmmaker."
4,Accused at Seventeen (Accused at 17),1 hr. 30 min.,Doug Campbell,2009,Nicole Gale Anderson,Barbara Niven,Cynthia Gibb,Lindsay Taylor,Janet Montgomery,Stella Maeve,0,42,,,,,
5,The Perfect Game,1 hr. 53 min.,William Dear,2010,Clifton Collins Jr.,Cheech Marin,Emilie De Ravin,Bruce McGill,Moises Arias,Jake T. Austin,57,68,Notable only for being a catalog of just about every kid-pic cliche' ever committed to film.,Director William Dear is not one to miss a sentimental beat.,[From] the second minute of the movie I knew every single thing that was going to happen and there was not a single surprise.,It's an unabashedly corny but occasionally stirring dramedy based on the true-life story of scrappy young baseball players from Mexico.,So overwhelmed by its own based-on-actual-events tale that it can't find the tone to tell it effectively.
6,Bittersweet (Matok Ve'Mar),1 hr. 41 min.,Doron Benvenisti,2007,Eyal Shechter,Shafrira Zakai,Tzofit Grant,Alon Neuman,Michal Yanai,Navan Ravitz,0,0,,,,,
7,Blossoms in the Dust,1 hr. 40 min.,Mervyn LeRoy,1941,Greer Garson,Walter Pidgeon,Marsha Hunt,Felix Bressart,Fay Holden,Samuel S. Hinds,25,72,Result is a sentimentally sugary flavor which also extends over the romantic portions of the film. There is no comedy relief.,"Pretty Technicolor, but the tearjerking is shameless.","With lovely Greer Garson playing the leading role, the spirit of the story is maintained on a level generally above its frequent insipid spots.","It was a noble deed and a noble effort to make a biography about a woman who was virtually unknown outside Texas, but the picture was long, overly teary, and didn't excite too many people at the box office, although it did make money.","Littered with stilted melodrama, wooden dialogue, and over-the-top courtroom showdowns."
8,Dear Lemon Lima,1 hr. 27 min.,Suzi Yoonessi,2011,Savanah Wiltfong,Shayne Topp,Zane Huett,Vanessa Marano,Kari Nissena,Maia Lee,80,61,If 'Napoleon Dynamite' had had a bigger heart it may have turned out like this sweet and smart comedy about high school misfits.,The filmmaker knows how to gently skew reality just enough to offset the excess cuteness.,It's more appealing than anything Hollywood has recently offered the 8- to 13-year-old female demographic.,There's almost nowhere for such a plot to go that audiences haven't seen countless times before.,"A spoonful of sugar, to say nothing of bright pastel colors and friendly bunny rabbits, helps the medicine go down in the sometimes ungainly but often winning prep school comedy Dear Lemon Lima."
9,Butterfly Crush,1 hr. 30 min.,Alan Clay,2010,Amelia Shankley,Courtney Hale,Hayley Fielding,Richard Adams,Jennifer Corren,Sally Kelleher,0,0,,,,,
10,Meek's Cutoff,1 hr. 44 min.,Kelly Reichardt,2011,Michelle Williams,Shirley Henderson,Paul Dano,Bruce Greenwood,Will Patton,Zoe Kazan,85,54,"Imagine a collaboration between John Ford and Wallace Stevens and you might get a sense of what Kelly Reichardt pulls off here: a sincere re-creation of the pioneer experience, brought to life through careful, often unexpected detail.","Greatly enhanced by the performances of Michelle Williams and Bruce Greenwood, director Kelly Reichardt's film quietly becomes engrossing - it almost sneaks up on you.",I was hypnotized from the opening sequence.,"Meek's Cutoff is a thoughtful, and intimate narrative that is beautifully shot and has outstanding direction.",Reichardt's film is - to put it simply - a masterpiece.
11,Dream Home,1 hr. 36 min.,Ho-Cheung Pang,2010,Josie Ho,Eason Chan,Derek Tsang,Lawrence Chou,Juno Mak,Michelle Ye,74,60,"For all the film's bleak ironies, Lai-sheung's brutal asphyxiation of a pregnant woman, who aborts her child while dying, destroys any residual empathy.","A surprisingly high-end slasher exploit, but there's a big batch of interesting ideas tucked inside this flick.","The carnage is excruciating and sometimes funny, and the quiet rage of Ho's heroine is almost comprehensible. But the flashback format is clumsy and confusing, and the violence veers toward the misogynistic.","We're billboarding this bloodbath because it's stylish, jaw-droppingly funny and features a knockout performance by Ho, who brings to mind the young Deneuve of ""Repulsion.""",Horror fans will be elated with what could be the bravest slasher effort of the last couple years.
12,Lifted,1 hr. 34 min.,Lexi Alexander,2011,Dash Mihok,Nicki Lynn Aycox,Uriah Shelton,Ruben Studdard,Trace Adkins,James Handy,0,92,,,,,
